STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SVN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,4.0,A,Annual,Slovenia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CRI,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,4.25,A,Annual,Costa Rica,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CHE,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,4.25,A,Annual,Switzerland,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,USA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,4.75,A,Annual,United States,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,HKG,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,4.83,A,Annual,"Hong Kong SAR, China",Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GRC,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,5.0,A,Annual,Greece,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ECU,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,5.5,A,Annual,Ecuador,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BEN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,6.0,A,Annual,Benin,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GBR,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,6.0,A,Annual,United Kingdom,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,URY,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,6.0,A,Annual,Uruguay,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CHL,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,6.5,A,Annual,Chile,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,HUN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,6.5,A,Annual,Hungary,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ZAF,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,7.5,A,Annual,South Africa,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,AUT,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,7.5,A,Annual,Austria,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,JPN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,7.5,A,Annual,Japan,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ESP,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,7.75,A,Annual,Spain,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,POL,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,7.75,A,Annual,Poland,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NAM,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,8.0,A,Annual,Namibia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PRY,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,8.5,A,Annual,Paraguay,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,HRV,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,8.75,A,Annual,Croatia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SLV,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,8.75,A,Annual,El Salvador,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TWN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,9.0,A,Annual,"Taiwan, China",Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MUS,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,9.5,A,Annual,Mauritius,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PER,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,9.5,A,Annual,Peru,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BGR,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,9.75,A,Annual,Bulgaria,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,KOR,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,10.5,A,Annual,"Korea, Rep.",Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ITA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,11.0,A,Annual,Italy,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CZE,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,11.25,A,Annual,Czechia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ARG,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,12.0,A,Annual,Argentina,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BIH,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,12.5,A,Annual,Bosnia and Herzegovina,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MLI,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,12.5,A,Annual,Mali,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ROU,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,13.25,A,Annual,Romania,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CPV,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,13.75,A,Annual,Cabo Verde,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SEN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,14.0,A,Annual,Senegal,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BOL,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,14.5,A,Annual,Bolivia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NGA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,2002,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,15.5,A,Annual,Nigeria,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public
