language,bytes,percentage
Python,502530,54.9942163764641
Just,2195,0.240209151585654
HTML,20759,2.2717547962490166
Shell,3177,0.3476740203132678
R,120917,13.232514798306388
CSS,46974,5.140585278626201
JavaScript,98055,10.730618842246606
Makefile,981,0.10735543403440845
Rust,32183,3.5219367314264707
C,220,0.024075632505168053
Typst,10042,1.0989431891677164
TypeScript,75754,8.290115749075003
